3CHEA,2IUZB
2AKAA,1YV3A
2GFCA,2JDSA
1ALBA,1LICA
1NEPA,2HKAC
3MN9A,3EKSA
1ALVA,1NX3A
2YQCA,2YQSA
2QFOB,2WI7A
1RTCA,1BR6A
1RDWX,1J6ZA
1TQOA,1TR5A
3PUWE,1FQCA
3L7UC,2HVDC
1R1WA,3F82A
1G4EB,1G67B
3F74C,3BQMC
1MY1C,1FTLA
2WGQB,1D6YB
1DUBD,1EY3F
1PZTA,1PZYD
1XMGB,1XVCA
1IMFA,1IMBB
2AX9A,2PIQA
1EXMA,1HA3B
3KQAB,3LTHA
2BF3A,3DHHE
1CLLA,1CTRA
3H5RA,3H9JD
1NI6D,3HOKB
1QLWB,2WKWB
1HAGE,1GHYH
1OK8A,1OKEB
3DXNA,3HZTA
1K5HC,2EGHB
1HKAA,3IP0A
2BU8A,2BU2A
2OHGA,2OHVA
2BLSB,3GQZA
1RHBA,2W5KB
1ADEA,1CIBA
1KS9A,2OFPA
1H09A,2IXUA
3BL9B,3BL7A
1BP5A,1RYOA
2Q8FA,2Q8HA
2IYTA,2IYQA
1EX6A,1GKYA
1RRGA,1S9DA
1ECJD,1ECCB
2CM2A,2H4KA
1NUWA,1EYJB
3CJ0A,2BRLA
1UK2A,2GZ7A
2WGBA,2V57A
1HOOB,1CIBA
1FA9A,1L5SB
1W50A,3IXJC
3B7DE,2AL4F
1PKLB,3HQPP
1K3FB,1U1DF
1FVRA,2OO8X
3HQDA,1Q0BB
2ZB1A,2NPQA
3PEOG,2BYSJ
2BRKA,2GIRB
2H4EB,3CFNB
2CGAB,1AFQC
1XCGB,1OW3B
1FXXA,3HL8A
4AKEB,1ANKB
3NNUA,3HL7A
1A8IA,2IEGB
1SWXA,2EUMA
2QLRC,3DC1A
2F6VA,1T49A
1G24D,1GZFC
1SU4A,3FGOB
2AIRH,1ZA1D
